"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000279457",29.9135794276176,0.179257083672691,0.324821565250144,0.551863246932652,0.58104205074703,0.686554777832897
"ENSG00000187634",183.229649921658,0.426457118403306,0.140265820376893,3.04034951107418,0.00236303749731019,0.00515718149494411
"ENSG00000188976",1651.18807619944,-0.692720464846369,0.054846541591398,-12.6301576133474,1.43989540157912e-36,1.76548905394951e-35
"ENSG00000187961",209.637938486147,0.729755610585225,0.131859899969346,5.53432552849559,3.12428248077751e-08,1.13412993107633e-07
"ENSG00000187583",47.2551232589398,0.0405765278756305,0.271892808601773,0.149237223611386,0.881366448669149,0.919030615571382
"ENSG00000187642",11.9797501642461,0.542810491577363,0.521559849534147,1.04074439790984,0.297994191720983,0.403379309754072
"ENSG00000188290",108.922127976716,2.0570638345631,0.196905312993841,10.4469696794187,1.51281875407844e-25,1.30538189681546e-24
"ENSG00000187608",350.71686801731,0.25738368648177,0.102726560033543,2.50552229528301,0.012227068940987,0.0237452288907981
"ENSG00000188157",9128.439421961,0.389908792022775,0.0467163395511376,8.34630443585944,7.04321148757893e-17,4.21962808552594e-16
"ENSG00000237330",0.158192358990472,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA
"ENSG00000131591",156.479083393338,0.196592348543652,0.145610917129241,1.35012094161292,0.176977192005111,0.261745093404047
"ENSG00000186891",0.732334495547826,-0.31184303389228,2.29432959164862,-0.135919021847336,0.891885297764806,0.926394074174199
"ENSG00000186827",0.774563363005392,1.72578824180931,2.02722232987901,0.851306843049776,0.394598924610235,0.508934886751172
"ENSG00000078808",4600.33028600984,0.386628861206273,0.0483324364781601,7.9993662512954,1.25061211585127e-15,7.08904667823691e-15
"ENSG00000176022",903.070312267806,0.425079342747304,0.0745779843229846,5.6997966170064,1.19950446645116e-08,4.50173079362292e-08
"ENSG00000184163",4.52322235705183,0.328034737205598,0.844006620099538,0.388663701674415,0.697524937134859,0.783293353056158
"ENSG00000160087",1226.36024604796,0.430326257302023,0.0633109392294954,6.79702848416348,1.0679898868114e-11,4.92954430060333e-11
"ENSG00000162572",31.7776688322821,0.810145939917117,0.320430204352817,2.52830703507928,0.0114614071029096,0.0223910681180649
"ENSG00000131584",1067.09073092054,0.582146204655292,0.0670714173686728,8.67949757875843,3.97520932177036e-18,2.52855567476269e-17
"ENSG00000169972",227.376248317606,0.0839217292579016,0.12169888225805,0.689585045489192,0.490455174370917,0.602963660316864
"ENSG00000127054",922.15171909075,-0.209496874766819,0.0727879689671213,-2.87817997588928,0.0039997687564754,0.00843086269063708
"ENSG00000224051",299.70151191683,-0.216411081372189,0.108761452223978,-1.98977741605108,0.0466154602905354,0.0804283134818439
"ENSG00000169962",5.84091826930333,0.0582910464706811,0.73567720217821,0.0792345424026891,0.936846070086016,0.957107817893228
"ENSG00000107404",996.838159268406,-0.144513678508732,0.0649756414671995,-2.22412084352695,0.0261403148786416,0.0475302321459963
"ENSG00000162576",5438.1255159644,0.516215483131601,0.0418318418467849,12.340252313592,5.49833078378429e-35,6.45178336715071e-34
"ENSG00000175756",1068.65776669111,0.0974793333116705,0.0657020202953172,1.4836580804292,0.13789965257043,0.211001357930128
"ENSG00000221978",1362.3522672541,0.487093287454536,0.0609097051687515,7.99697332477698,1.27514850258752e-15,7.22535126148973e-15
"ENSG00000242485",665.629405355783,-0.119697711313019,0.0763055945682484,-1.5686623240444,0.116726641897767,0.181909405550311
"ENSG00000235098",1.24671988581422,-0.0591200275867557,1.57049165078444,-0.0376442800935784,0.969971302515186,0.978804317457639
"ENSG00000179403",108.929842536121,0.165405859799457,0.175992761709811,0.939844674249674,0.347297239686089,0.458890686614092
"ENSG00000215915",0.543603841878244,0.784681074991809,2.4204205796542,0.324192035709726,0.745792651342109,0.820915389229222
"ENSG00000160072",423.792449298593,-0.791803457110139,0.0978592141321795,-8.09125092748693,5.90550517273611e-16,3.40380661852893e-15
"ENSG00000197785",708.708441641375,-0.664367837986057,0.0811918784372497,-8.1826883522534,2.77580386149515e-16,1.62276070252739e-15
"ENSG00000205090",40.4750829217052,0.497894327131639,0.293990305983403,1.69357396144806,0.0903462694529675,0.145188454824756
"ENSG00000160075",1860.23851801681,0.0489569115056422,0.0522188415930495,0.937533465165157,0.348484217989459,0.45999007025821
"ENSG00000228594",176.877295844935,0.336425158973397,0.140976553209654,2.38639086652289,0.0170146565168362,0.032144854216784
"ENSG00000197530",749.024212554717,0.419464859464611,0.0731092057622836,5.73751082495016,9.60781407182798e-09,3.62426321450219e-08
"ENSG00000189409",2.55268355396294,-0.0385517087772029,1.09981214357725,-0.0350529942793773,0.972037483486969,0.980419410869898
"ENSG00000248333",477.512838582641,0.0727145569938435,0.0874014035426835,0.831960975985157,0.405430971972821,0.520099234211599
"ENSG00000189339",1751.0672425259,0.877810539396577,0.0570548914995842,15.3853686568307,2.05204402315863e-53,3.80415406456753e-52
"ENSG00000008128",12.8597280624561,0.403593300200674,0.503910006803862,0.80092336875891,0.423176010530149,0.538348557893253
"ENSG00000215790",44.3703655663435,1.2688873516645,0.282260898446787,4.4954414821425,6.94257499390034e-06,2.04516630541881e-05
"ENSG00000008130",954.970824752761,0.0147195890452547,0.0662523349222541,0.222174645807244,0.824177930605543,0.880772557556703
"ENSG00000078369",9946.04557263681,0.0443202370772362,0.038276045124852,1.15791056606472,0.246900535186618,0.346620316972792
"ENSG00000169885",1.40907649268242,1.66715894575287,1.60706317782534,1.03739477623328,0.299551911837172,0.405287439333172
"ENSG00000178821",2.56465587233207,-0.513052496947038,1.08917977836726,-0.47104482394645,0.637608725807482,0.733679642530882
"ENSG00000067606",34.0074868626391,0.562193553313648,0.323167440358833,1.73963550501687,0.0819230407108996,0.133353409984232
"ENSG00000162585",655.211397296099,0.241138701737686,0.0757411327894118,3.18372188079283,0.00145394635034527,0.0032629247299446
"ENSG00000157933",1780.14596929959,-0.709301608936322,0.058016505670145,-12.2258588438449,2.26178523124895e-34,2.60423365141774e-33
"ENSG00000116151",45.9442404288924,0.0890753613167609,0.276601711016992,0.322034744431819,0.747426373165124,0.822487111752976
"ENSG00000157916",2153.5090858002,0.0751255688325869,0.0522266904719156,1.43845164519825,0.150305948045844,0.22717762919697
"ENSG00000157911",207.794701124024,-0.246534601071721,0.129138445752276,-1.90907207869486,0.056252794051945,0.0953154378865907
"ENSG00000149527",30.2467084107542,-0.546723127863647,0.323492500967128,-1.69006430204452,0.091015653456376,0.146057132038335
"ENSG00000157881",435.476343889853,-0.0980653785974404,0.0905104466725328,-1.08347027556102,0.27859973754978,0.38206038261921
"ENSG00000157873",24.332380919207,1.21815690773185,0.38109980575866,3.19642489795251,0.00139142043934685,0.00313080220383114
"ENSG00000157870",391.29276401127,-1.33327287068436,0.0986171405065538,-13.519686981755,1.19683956270132e-41,1.70096639104069e-40
"ENSG00000142606",0.280742050920118,-0.175814047476726,3.18170420608947,-0.055257822880026,0.955933063263127,NA
"ENSG00000215912",2.46654945097095,1.20618616054047,1.18945704921394,1.01406449382732,0.310551978992377,0.418097658389482
"ENSG00000142611",4.06379450073457,0.35828834691658,0.904731455643581,0.396016237394676,0.692093049710964,0.778725822148048
"ENSG00000130762",0.793807598119251,1.75431441470358,2.01651826963796,0.869971991386196,0.384315710789358,0.498332302095157
"ENSG00000162591",120.624795073974,0.276917665332406,0.164049820580981,1.68800955924062,0.0914093939550933,0.146625124957571
"ENSG00000158109",1837.24896959111,0.321299645993769,0.0532118950718617,6.03811695786929,1.55923038446807e-09,6.22425173518159e-09
"ENSG00000116213",196.349812421993,0.139171501404473,0.135733801710195,1.02532677675689,0.305209025373204,0.411807252215534
"ENSG00000078900",1.06285907626091,-1.29217095148451,1.83964000191964,-0.702404247644185,0.482427097083291,0.595278847690351
"ENSG00000162592",0.612206756137193,-1.45443083823444,2.42702599589594,-0.599264631155107,0.548996429572691,0.657172626627869
"ENSG00000235169",8.00720108324259,-0.452339664822847,0.620940911396904,-0.728474572250745,0.466323128653702,0.580363981599245
"ENSG00000130764",650.050345559859,-0.461561558317942,0.0765528461352042,-6.02931937374023,1.64651623420425e-09,6.56001485726747e-09
"ENSG00000116198",868.398768437544,0.369187995290532,0.0696311370014633,5.30205323636714,1.14507436110199e-07,3.96711470002848e-07
"ENSG00000169598",99.4645610854156,-0.332394430413982,0.179407543734626,-1.85273385664122,0.0639205147619494,0.106664464058153
"ENSG00000198912",274.59719900775,-0.0792810784305051,0.109492557762841,-0.724077325896673,0.46901826395039,0.582898369678414
"ENSG00000196581",2.51926689723939,-0.10207320756612,1.16098430901527,-0.0879195410080066,0.929940625267293,0.9526284100361
"ENSG00000131697",226.184495605739,0.786511845527954,0.127881527258136,6.15031633099233,7.73285609390543e-10,3.14999538728519e-09
"ENSG00000069424",137.964257926444,0.330236441806729,0.159723560373328,2.06754996592146,0.0386823611091885,0.0678529681060723
"ENSG00000116254",4.87851054000781,1.29095570136202,0.832290364255746,1.55108812597683,0.120880566353492,0.18762904548897
"ENSG00000116251",3157.32757952669,-0.0522626741366158,0.0486267563682859,-1.07477195766035,0.282476838265142,0.386540641776621
"ENSG00000158286",16.6793288692637,-0.928163910622393,0.446358637365825,-2.07941290460946,0.0375794154126128,0.0661465931387898
"ENSG00000116237",2331.28583130502,-0.385174947403812,0.0484036998365082,-7.95755177196798,1.7547670671855e-15,9.87844042634834e-15
"ENSG00000158292",186.514804596562,0.00952384719215604,0.133216295664536,0.0714916080247335,0.943006503295595,0.960803999002453
"ENSG00000097021",1264.85337440718,-0.36176101173585,0.0633573712062073,-5.70984882814088,1.13076567592354e-08,4.25241758911996e-08
"ENSG00000069812",3.15810817128513,2.95472164660346,1.29792491777338,2.2764965878553,0.0228163045971855,0.0419494382676298
"ENSG00000187017",0.634513129677028,1.26926854167997,2.26453917970988,0.560497496820781,0.575140146586027,0.681493445922565
"ENSG00000215788",53.392055126377,1.21642916910152,0.254308220318365,4.78328686181945,1.72451738455997e-06,5.3904426752163e-06
"ENSG00000171680",427.118705593219,0.840544674617318,0.0963104554932488,8.72744989432885,2.60479197017495e-18,1.66910539375819e-17
"ENSG00000162408",364.085764021207,-0.647970481290697,0.102971041480055,-6.29274475597304,3.11900979037223e-10,1.31037532185023e-09
"ENSG00000173662",0.144923387344287,-1.13759814349974,4.0804728567969,-0.278790763576536,0.780405403141678,NA
"ENSG00000204859",120.908623879486,0.264363509909215,0.171011293526585,1.54588334172279,0.12213274436289,0.189313460919254
"ENSG00000162413",2066.29846562912,0.782090893797724,0.0629049717192991,12.4328947684397,1.73245094813504e-35,2.06076368632883e-34
"ENSG00000116273",483.096239817907,-0.0838051139411864,0.0940473119748175,-0.891095260262477,0.372878067476707,0.48635697223676
"ENSG00000041988",128.326371358964,-0.430757756205681,0.158290060696419,-2.72131904119881,0.00650219738112385,0.0132342749624366
"ENSG00000007923",671.879434225984,-0.564530297789247,0.0752089154900223,-7.50616192390305,6.08860986482535e-14,3.18770629441549e-13
"ENSG00000171735",303.848948894719,-0.0868963713842707,0.107186924529572,-0.810699362498239,0.417538339544088,0.532924573326471
"ENSG00000049245",1972.24810613789,-0.672795172551313,0.0520423566364085,-12.9278383231521,3.13509945203679e-38,4.02133122054989e-37
"ENSG00000049246",147.3350024356,-0.20554023281307,0.15839921910052,-1.2976088769897,0.194421770209701,0.28387042295924
"ENSG00000049247",0.322359981448618,-0.175813577071158,3.03719917979223,-0.057886745868009,0.953838840683754,NA
"ENSG00000049249",2.47064777156683,-2.11201292882399,1.27015503095415,-1.66279932555748,0.0963526116989328,0.153784361188962
"ENSG00000116288",2258.1923049478,-0.337643069158935,0.0495260522092683,-6.81748401290398,9.26487105681475e-12,4.29253912717183e-11
"ENSG00000116285",2398.97446233045,-0.978812953449166,0.138405725453304,-7.07205536652023,1.5265548460843e-12,7.39105299658029e-12
"ENSG00000162426",66.1455851799461,-0.0885200519331999,0.218918491701013,-0.404351643597544,0.685954154011256,0.774312098529285
"ENSG00000142599",1448.30090895099,-0.728832876545204,0.0608942360765101,-11.968831920799,5.17520616543989e-33,5.68770980359829e-32
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275895901,-37.338747544085,3.86082290926958e-305,2.37086700153396e-302
"ENSG00000131686",0.144923387344287,-1.13759814349974,4.0804728567969,-0.278790763576536,0.780405403141678,NA
"ENSG00000142583",0.795996933916045,1.65816531767008,2.09096097285735,0.7930159095242,0.427768553593206,0.543206353856339
"ENSG00000180758",131.906748861367,-0.909413829377722,0.158163616948428,-5.74982949254539,8.93334953400153e-09,3.37935588891464e-08
"ENSG00000049239",1601.45954658721,-0.444676869370195,0.0545653741600486,-8.14943315638027,3.65634068507461e-16,2.1240500203638e-15
"ENSG00000171621",607.0715212426,0.246110337968822,0.0810677536430903,3.03585984449932,0.00239850827740034,0.00523072136613292
"ENSG00000171612",169.912453924335,0.0838130139136352,0.144325337342757,0.580722799314083,0.561427293131469,0.66846949799415
"ENSG00000188807",341.694439198546,0.112623707100634,0.103721283352248,1.08583025065505,0.277554100143868,0.380945457992208
"ENSG00000171608",587.285654132433,-0.631337041044269,0.088900465394367,-7.10161682780429,1.23305710640333e-12,6.00158376293669e-12
"ENSG00000171603",4150.80399431927,-0.120192281360148,0.0425908497423138,-2.82202121083153,0.00477220208596648,0.00994242498487052
"ENSG00000178585",367.372092143342,-0.216351827781727,0.0978413063406678,-2.21125244412033,0.0270183605264112,0.0489786712716172
"ENSG00000162441",292.967656286429,-0.972540270466729,0.109782576743533,-8.8587852400178,8.0891032643379e-19,5.29854239599164e-18
"ENSG00000173614",221.895316976591,-0.295736728382801,0.121437170993172,-2.4353064713557,0.0148791815021307,0.0284569656084093
"ENSG00000162444",0.335628953094802,1.76002405826953,2.9420047563452,0.598239705246425,0.549680001677814,NA
"ENSG00000130939",2003.76871125387,0.737284394392621,0.0522784645613078,14.1030231201224,3.63842901575822e-45,5.60325672249161e-44
"ENSG00000054523",1698.73379437079,-0.199776858698179,0.0601957605583728,-3.31878618768265,0.000904096260146511,0.00209078466688205
"ENSG00000142657",3988.34288412843,0.123940918678974,0.0453004910835382,2.73597295999322,0.00621961365244169,0.0126959371204551
"ENSG00000251503",2.62968228585215,0.208091344564273,1.06169564302149,0.195999056727843,0.844610904300688,0.894951147284746
"ENSG00000175279",15.1411484580662,-0.000460007617637478,0.450672714606656,-0.00102071326425646,0.99918558878686,0.99938901985346
"ENSG00000241563",2.83610942310219,-0.336471751099386,1.02984221113093,-0.326721654504612,0.743878420395737,0.819691806884762
"ENSG00000160049",909.431158299505,-0.199097359011084,0.0713596712298219,-2.79005432031585,0.00526991990879884,0.0108946667998145
"ENSG00000142655",301.444744039201,-0.203866048675631,0.109802695712337,-1.85665795682942,0.0633598326429659,0.105896712802453
"ENSG00000130940",4.15740417674339,-0.976775926017451,0.891322406776995,-1.09587273762078,0.273134471197516,0.375824464243207
"ENSG00000120948",1216.48413987918,-0.274926327562378,0.059564956303047,-4.61557171575251,3.92014637606335e-06,1.18537376467833e-05
"ENSG00000277726",0.144923387344287,-1.13759814349974,4.0804728567969,-0.278790763576536,0.780405403141678,NA
"ENSG00000009724",15.536404218195,-0.410607034573321,0.446495178874898,-0.919622549134776,0.357770038956198,0.470283163943672
"ENSG00000116649",2058.93095814472,-1.26360906970571,0.0543785212954537,-23.2372826550426,1.91282396414618e-119,1.08846330438558e-117
"ENSG00000171824",817.373897377406,-0.164050061150337,0.0730072388258166,-2.24703829084311,0.0246375800881932,0.0450395255941195
"ENSG00000198793",1657.59550594203,-0.0149372943453122,0.0541494336871405,-0.275853196020766,0.782660823691426,0.848900148628513
"ENSG00000171819",0.633640327047847,-1.58849331435093,2.265873386038,-0.701051225606431,0.483271047391699,0.595802516018195
"ENSG00000120942",259.092435417049,-0.329131544987386,0.114674768147579,-2.87013045942081,0.00410302476712578,0.00863369203567958
"ENSG00000204624",2.65819514122545,1.93152758932422,1.23066877402375,1.56949427018366,0.116532813534792,0.181722633147367
"ENSG00000116661",46.1780785986074,1.16924987815296,0.269532137928631,4.3380722133498,1.43737931370244e-05,4.08486238437072e-05
"ENSG00000132879",215.991808974041,-0.0309694525376573,0.127314016139068,-0.243252498639495,0.807809799884306,0.867305371216937
"ENSG00000116663",65.1191621613431,-0.231679116493421,0.221335192060692,-1.04673420587311,0.295222182887822,0.400790763762042
"ENSG00000116670",303.585942678025,-0.317778352203058,0.109799827120322,-2.8941607699876,0.00380173453639251,0.00804912564248712
"ENSG00000162490",12.974640930305,3.04770708206716,0.655648990796238,4.64838217529466,3.3454863244688e-06,1.01976788934894e-05
"ENSG00000177674",420.234513406688,0.535065201707541,0.0979024839907704,5.4652872929964,4.62157676062093e-08,1.65684257596768e-07
"ENSG00000177000",285.501117306741,0.292840334621663,0.10982267361696,2.66648338614514,0.00766493948067547,0.0153967395483433
"ENSG00000011021",368.754725254034,0.707741258741223,0.101384572246985,6.98075893654787,2.93589704135195e-12,1.40075269004354e-11
"ENSG00000175206",0.765458639236935,2.9803657780798,2.05602872071248,1.4495740006234,0.147177350581706,0.223158414904649
"ENSG00000120937",1.24540004274696,1.09584693799401,1.78346284299224,0.614448987429103,0.538918672851778,0.648956891942929
"ENSG00000116685",1363.89085730184,0.0856483540011241,0.0623836621819301,1.3729292414951,0.169774345006069,0.252187581038073
"ENSG00000083444",10160.1427997413,0.0864413026703057,0.040890550928613,2.11396766996893,0.0345180287292282,0.0612259847648773
"ENSG00000116688",2352.37990165954,-0.232692535028658,0.0509958657896166,-4.56296861374274,5.04353568382096e-06,1.50804684333847e-05
"ENSG00000116691",142.034439404488,-0.626692738136086,0.15559812163843,-4.02763691191826,5.63402602567497e-05,0.000150451667994922
"ENSG00000120949",2.87800909922136,-1.85157049352641,1.12067334179762,-1.65219464447722,0.0984948778590816,0.156931622690502
"ENSG00000028137",284.51883113806,-0.6915791997128,0.113095489137799,-6.11500250792637,9.65554450942015e-10,3.90728761614042e-09
"ENSG00000048707",1177.42898261781,0.315531741208295,0.0753063171788756,4.18997705675621,2.78982661549377e-05,7.68244855365231e-05
"ENSG00000162496",239.359926567298,1.49168299077945,0.126037747481498,11.83520826567,2.56705520294334e-32,2.74551956320602e-31
"ENSG00000179172",1.21308277816865,-1.51845232839942,1.69389517372263,-0.896426385738119,0.370025080295063,0.483288694912145
"ENSG00000120952",0.13581866357583,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA
"ENSG00000277058",0.158192358990472,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA
"ENSG00000275774",0.144923387344287,-1.13759814349974,4.0804728567969,-0.278790763576536,0.780405403141678,NA
"ENSG00000179412",1.42945348458236,-0.228839133993086,1.50624541816113,-0.151926858155997,0.879244624438969,0.91767102291442
"ENSG00000162493",46.3376286808845,0.859990244259692,0.272303233819927,3.15820797349914,0.00158742264726244,0.00354207948150702
"ENSG00000116731",500.380369836304,-0.397461588444776,0.0857637581757301,-4.63437700141796,3.58014022558243e-06,1.08814408423662e-05
"ENSG00000189337",242.360447435594,-0.61680009817532,0.120164471533227,-5.13296559544862,2.85212058399113e-07,9.59473936700783e-07
"ENSG00000171729",518.629349291039,1.29355664555549,0.0979461824287812,13.2068102449635,8.01494536759245e-40,1.07483407486422e-38
"ENSG00000142621",0.805101657684502,0.388071418546277,1.99047313451869,0.194964409122817,0.845420810323722,0.895287620894334
"ENSG00000142634",1068.14842431117,-1.26513375586564,0.0645177325179355,-19.6090858511486,1.29335626530394e-85,4.48505520895282e-84
"ENSG00000162438",0.158192358990472,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA
"ENSG00000132906",94.9223313065353,0.228560363304665,0.183331445983947,1.24670572513064,0.212505418829848,0.305879955338832
"ENSG00000116138",690.838087073522,0.576561802768458,0.0758138132935949,7.60497035725768,2.84969202491306e-14,1.51346886714121e-13
"ENSG00000116771",13.0920426990711,0.242270424308613,0.488257592869099,0.496193869479805,0.619757635881051,0.719325008273104
"ENSG00000197312",629.759400075765,0.971457140162071,0.0799150799382624,12.1561179806435,5.32285956338777e-34,6.04378306973875e-33
"ENSG00000116786",1641.39742983243,0.237711723862436,0.0548405565856513,4.33459721531403,1.46027246066972e-05,4.14592477853021e-05
"ENSG00000162461",2.30616775618368,1.15470264242033,1.22305603015711,0.944112627670873,0.345112097080163,0.456658474301261
"ENSG00000162458",2879.63997052123,-0.103533772771604,0.0449561726889939,-2.3029934840728,0.0212792097104219,0.039378828818709
"ENSG00000233954",121.953128805443,-0.0515524904105107,0.168228564012545,-0.306443146044251,0.759267261624512,0.831419934751621
"ENSG00000065526",957.239667690687,-0.122588415141517,0.0744618295669037,-1.64632558526341,0.0996967446457553,0.158573968438636
"ENSG00000116809",428.303791082262,0.0976348900993318,0.0935396304695755,1.04378101141941,0.296586718823419,0.402087670133341
"ENSG00000173641",36.4061210182215,-1.62638878152995,0.319779772444098,-5.08596516002045,3.6576119740996e-07,1.22124796724694e-06
"ENSG00000186510",0.13581866357583,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA
"ENSG00000184908",0.56087316491117,-2.67490235690705,2.44626168783249,-1.09346533537757,0.274189540869212,0.376994631339719
"ENSG00000185519",11.0368348263553,-0.190981150662636,0.541817495598113,-0.352482435901801,0.724476488453604,0.804864653009891
"ENSG00000142627",2309.84676794303,0.480602093028633,0.0497135129821664,9.66743374585172,4.14644981653139e-22,3.19447869294509e-21
"ENSG00000142632",111.760276673965,0.0524303639795582,0.168115851835062,0.311870435817066,0.755138991492585,0.828191580340655
"ENSG00000132881",73.6352610940121,0.471351298339623,0.209273412514444,2.2523228950887,0.0243018743487953,0.0444754779774674
"ENSG00000037637",491.742331229767,0.0242224040195947,0.0887052523864877,0.273066175541196,0.784802346963616,0.850224303467313
"ENSG00000055070",3284.51932805167,0.59222825327534,0.0464185336583776,12.7584438068188,2.79733691000715e-37,3.48496630428448e-36
"ENSG00000187144",0.177436594104331,0.785955538541567,4.05983006390923,0.193593211087453,0.846494414395661,NA
"ENSG00000157191",1371.8429317135,-0.066460190914428,0.0564172826362674,-1.1780112016899,0.238792140535162,0.336873606509736
"ENSG00000219481",358.542842563789,-0.175917975480584,0.0973541204768039,-1.80699054769335,0.0707637530117861,0.116999967911859
"ENSG00000058453",290.439020778139,0.501376704979927,0.113945170584908,4.40015757057748,1.08172301404493e-05,3.12107160943503e-05
"ENSG00000117122",320.522080524668,1.95177396670927,0.117024096875581,16.6783937566669,1.88211845093155e-62,4.24138558560079e-61
"ENSG00000159363",855.936179460548,0.225799161860043,0.0700821459151599,3.22192134546495,0.00127334085501094,0.00288271851323367
"ENSG00000117118",694.444991253429,-0.842675554609334,0.0758339285913771,-11.1121178905289,1.09530434565307e-28,1.0428033234002e-27
"ENSG00000142623",1.9392474664235,-1.68177096227913,1.35144234669289,-1.24442671668132,0.213342555127629,0.306905083208491
"ENSG00000179051",1876.89672122939,0.750218160770034,0.0539812549779526,13.8977532307547,6.53610283968516e-44,9.76968394029207e-43
"ENSG00000074964",234.045132513187,-0.53489721759329,0.12075082489684,-4.42976036023162,9.43378581560281e-06,2.74068865267798e-05
"ENSG00000117148",0.485425494455014,-0.999060934654243,2.50235133124642,-0.399248867326959,0.689709839316664,NA
"ENSG00000159423",214.304092213007,0.339568373104159,0.125137902173378,2.71355334560179,0.00665658497284347,0.0135186370855405
"ENSG00000169991",333.516665634404,0.00514653678009322,0.102829378729107,0.0500492840052184,0.960083114547777,0.972622005925566
"ENSG00000127481",5704.54103267849,0.00380478191798475,0.042693880490561,0.0891177347729244,0.928988343162645,0.951917555553853
"ENSG00000127463",2612.10847596582,-0.493538879214183,0.0489179874925695,-10.0891084141422,6.17276160377224e-24,5.0569294339297e-23
"ENSG00000053372",691.597771017374,-0.64251379451605,0.076690400904858,-8.37802106828403,5.38250120009737e-17,3.23520810306016e-16
"ENSG00000162482",3.28146473856211,-0.181025121609471,0.952182748954851,-0.190115943402851,0.849218276896223,0.897445788390688
"ENSG00000053371",596.564512424174,-0.022477686922339,0.0798615153097296,-0.281458307360724,0.778358901918907,0.845915013382557
"ENSG00000040487",342.782082246276,0.622938560347558,0.109771532400616,5.6748643908342,1.38798564796453e-08,5.18270394722605e-08
"ENSG00000077549",5289.02142645475,-0.240798741191194,0.0409597218607334,-5.87891543819389,4.12963254259893e-09,1.59996120959051e-08
